Task,Day,Status,Details
Initialize Project Structure,Day 1,Not Started,"Create index.html, css/, and js/ folders/files. Push initial commit to GitHub."
Plan Basic Table Layout,Day 1,Not Started,"Decide on 10×10 or dynamic. Sketch row/column labels."
Implement 10×10 Table,Day 2,Not Started,"Use HTML table or dynamic JS. Label rows (1–10), columns (A–J)."
Add Basic CSS Styling,Day 2,Not Started,"Borders, alignment, row/column headers. Ensure text left-align, numbers right-align."
Separate Text vs Numeric,Day 3,Not Started,"On cell input, detect numeric vs text. Store cell type in data structure."
Store Cell Data Structure,Day 3,Not Started,"Use 2D array or object. Keep track of each cell’s content, formula, or raw text."
Parse Basic Formulas,Day 4,Not Started,"If user types =A1+5, interpret references and operator. Evaluate result."
Display Result / Show Formula,Day 4,Not Started,"When not editing, show computed value. On click, show formula."
Cell Referencing Mechanism,Day 5,Not Started,"Convert A1,B2,... to array indices. Implement +,-,*,/ logic."
Division by Zero Handling,Day 5,Not Started,"Graceful error or ignore input. Prevent crashes."
Highlight Formula Cells,Day 6,Not Started,"If cell is derived from formula, light blue background."
Update Highlights on Change,Day 6,Not Started,"Remove highlight if switched to plain text. Add highlight if formula entered."
Implement Keyboard Navigation,Day 7,Not Started,"Arrow keys to move up/down/left/right. Single click to focus, double-click to edit."
Clean Up Visuals,Day 7,Not Started,"Highlight current cell with a border or shading."
Testing & Bug Fixing,Day 8,Not Started,"Manually test alignment, references, highlighting, arrow keys, etc."
Refactor Code,Day 8,Not Started,"Tidy up structure, remove unused code, add comments."
Create Basic User Guide,Day 9,Not Started,"Explain how to create, edit, navigate cells, and do formulas."
Update README,Day 9,Not Started,"Add usage instructions, screenshots, and examples."
Push Final MVP,Day 9,Not Started,"Commit and push all changes to GitHub for the first working version."
Explore Stretch Goals,Day 10,Not Started,"Advanced functions, multiple sheets, real-time collaboration, etc."
Code Cleanup & Future Planning,Day 10,Not Started,"Identify next steps for new features. Possibly make a backlog for upcoming sprints."
